year,train_observations,actual_real_bn,naive_last_forecast_bn,naive_last_ape_pct,naive_3yr_forecast_bn,naive_3yr_ape_pct,arima_order,arima_order_aic,arima_forecast_bn,arima_ape_pct
2007,12,1.3987,1.2288,12.146993636948606,1.0647666666666666,23.87455017754582,"(1, 1, 0)",-2.211401797679547,1.0731438019527746,23.275627228657
2008,13,0.9333,1.3987,49.86606664523733,1.2149333333333334,30.17607771706133,"(1, 1, 0)",-1.8761934739767865,1.2996335935847683,39.251429720858056
2009,14,2.2859,0.9333,59.17144232031147,1.1869333333333334,48.075885500969704,"(1, 1, 0)",-0.5025502550696812,1.2232112766804988,46.488854425806075
2010,15,2.3982,2.2859,4.682678675673434,1.5393,35.81436077057794,"(1, 1, 0)",5.079644812041374,1.041683280217522,56.56395295565333
2011,16,2.5286,2.3982,5.157003875662416,1.8724666666666667,25.94848269134435,"(1, 1, 0)",9.599727327596836,2.352238450638518,6.974671729869575
2012,17,2.4107,2.5286,4.890695648566811,2.4042333333333334,0.2682485032009955,"(1, 1, 0)",8.9947712317753,2.4752582712017985,2.677988600895951
2013,18,1.6325,2.4107,47.66921898928023,2.4458333333333333,49.821337417049506,"(1, 1, 0)",8.274512700484348,2.4578183192214498,50.555486629185275
2014,19,1.3622,1.6325,19.842901189252675,2.1906,60.81339010424311,"(1, 1, 0)",9.71678290631603,1.899754685660896,39.462243845316095
2015,20,1.7384,1.3622,21.640589047399903,1.8018,3.6470317533364085,"(1, 1, 0)",10.268480170823675,1.4384684815191116,17.253308702306054
2016,21,1.8228,1.7384,4.630239192451175,1.5777,13.446346280447658,"(1, 1, 0)",10.017745774000552,1.6062104140830682,11.882246319779009
2017,22,2.6716,1.8228,31.771223237011537,1.6411333333333333,38.571143384738235,"(0, 1, 1)",9.438831869567933,1.7693696766462175,33.771160478880915
2018,23,6.7009,2.6716,60.13072870808398,2.0776,68.99520959871063,"(1, 1, 0)",10.801069123907112,2.389107690629688,64.34646554000673
2019,24,8.7885,6.7009,23.753769130113227,3.7317666666666667,57.53807058466557,"(1, 1, 0)",20.22701412916182,6.352584845305181,27.71707520845218
2020,25,7.0684,8.7885,24.33506875672007,6.053666666666667,14.355912700658314,"(1, 1, 0)",20.525091257934495,8.928342842230073,26.313491627950793
2021,26,9.8664,7.0684,28.358874564177416,7.519266666666667,23.78915646368821,"(1, 1, 0)",20.662682666812202,7.015856813770457,28.891421250198086
2022,27,11.8095,9.8664,16.453702527626056,8.574433333333333,27.393764906784085,"(1, 1, 0)",21.33075358821043,9.88809431240596,16.270000318337274
2023,28,12.7337,11.8095,7.257906185947531,9.581433333333333,24.755308093222453,"(1, 1, 0)",21.252654206631746,11.868679430862267,6.793159640463759
2024,29,14.5977,12.7337,12.7691348637114,11.469866666666666,21.426891450936335,"(1, 1, 0)",20.919013502927314,12.764753215065399,12.55640809808806
